,id,category,labels,link
0,679b7636c0da9620d9598948,commit,software quality -> optimization,https://github.com/phanxuanquang/Object-Oriented-Programming-UIT/commit/542340802fa92d05ad908ae86cff5dc9c77197e1
1,679bdc7ec0da9620d95a1b12,commit,learning -> how to use a library/framework/tool,https://github.com/Offroaders123/Dovetail/commit/5b52113e94f499b6ae2b284268b63ff79f35298e
2,679bf458c0da9620d95a3678,commit,development environment -> continuous integration -> integrating ChatGPT reviewing in CI,https://github.com/clickcaramel/PolyglotRocks/commit/8bb4757c110bc309768e94cd8d000923945fe19b
3,679c02f5c0da9620d95a4be2,commit,development environment -> continuous integration -> integrating ChatGPT reviewing in CI,https://github.com/AirtestProject/Airtest/commit/b1f3b97f7f9bffb4ee4b9aab47aa6d147b107cf9
4,679c104cc0da9620d95a5c8d,commit,feature implementation/enhancement -> implementing a new feature,https://github.com/sayedihashimi/sayed-samples/commit/b67a11ebccdeadbaa055ba3b563b6f9a51a49f16
5,679c104cc0da9620d95a5df9,commit,development environment -> continuous integration -> integrating ChatGPT reviewing in CI,https://github.com/iotexproject/iotex-core/commit/237b5a22d0f57ef88213f2b4359dd7e12f317197
6,679c3b76c0da9620d95a9c8a,commit,feature implementation/enhancement -> implementing a new feature,https://github.com/pathikrit/newswall/commit/423b3bdc950fb889b58f3dc8030696e6703fc68c
7,679c4841c0da9620d95aa944,commit,development environment -> continuous integration -> integrating ChatGPT reviewing in CI,https://github.com/AirtestProject/Poco/commit/3e90e5ebe2ba82305d0c664553de8c3d2acb5200
8,679c4841c0da9620d95aab33,commit,software quality -> fixing,https://github.com/arnog/mathlive/commit/a72ed1cd18270abfdc1e78c89b93ec44976c73d4
9,679c4841c0da9620d95aab3e,commit,software quality -> optimization,https://github.com/mostafakamal22/Sprints-MERN-E-Banking-System/commit/47317258c55c6c421555ac2ff81fc66b35221a8a
10,679cd9f4c0da9620d95b7d0e,commit,"documentation,documentation -> generating api specification",https://github.com/esensible/silkflow/commit/7d7769990708a47ebf6d2fa1a399529603e0d8f4
11,679cf305c0da9620d95b97d6,commit,"documentation -> generating readme,documentation -> internationalization support",https://github.com/lhprojects/blog/commit/0895d5bdcc17a2e421f46082e5d1713876ae29dc
12,679cf697c0da9620d95ba2d1,commit,software quality -> optimization,https://github.com/hjyssg/ShiguReader/commit/b554452fffe198ac310e511d038d19cc396356dd
13,679d454ac0da9620d95c0afc,commit,documentation -> generating readme,https://github.com/osism/k8s-capi-images/commit/ffa158634121f447045f2f40e75e88b9d7aa5bb8
14,679d454ac0da9620d95c0b01,commit,documentation -> generating readme,https://github.com/osism/k8s-capi-images/commit/31cb0a787e87455d0c0f6eba0a6e8e2d7378a107
15,679d5676c0da9620d95c2785,commit,software quality -> fixing -> functional bugs,https://github.com/MarginallyClever/Robot-Overlord-App/commit/717d37f2e6cc404378efeb429f9fff6a104096cf
16,679d612dc0da9620d95c30b5,commit,"documentation -> generating readme,generating/manipulating data",https://github.com/nathanwang000/genAI_storyteller/commit/0ae2ef3848814615d3fc432049ebd889e70a7f92
17,679d632ec0da9620d95c3603,commit,feature implementation/enhancement -> implementing a new feature,https://github.com/LebsterFace/LebJS/commit/90aa087f4957457632c34444580d82db01895f3f
