,category,link
0,commit,https://github.com/tarneaux/.f/commit/6de9905ab470a7c5ba62c622dc489e159a3fa8b3
1,commit,https://github.com/karlhorky/dotfiles/commit/89dac003a466846f7ba112e5a1de04271a7dbf83
2,commit,https://github.com/bellini666/dotfiles/commit/579d8e3c9bb648c3d5fb5bcd9a4a92ef5cf79fa6
3,commit,https://github.com/jellydn/lazy-nvim-ide/commit/18ecd5454aa713cb75ebd7664a5efb3c0fa7fbac
4,commit,https://github.com/razak17/nvim/commit/71597e3b380c2588d00a254f35fe19c62bf51f26
5,commit,https://github.com/felipereigosa/kairon/commit/ed218144cbec996a528ac7a5b3906d963d7a125b
6,commit,https://github.com/openedx/edx-ui-toolkit/commit/e05fa4070ea2e822b5be442165a48b9faf2d4669
7,commit,https://github.com/Copilot-Language/copilot/commit/eeed69c3c4bff75ce2a2125cd1057eef77c2d556
8,commit,https://github.com/igorgue/danger/commit/57217206f054c8d6d8a54b78528d68c291f0c47f
9,commit,https://github.com/JakobGM/dotfiles/commit/a11d5d1486148ac8429d8370c978057b670c7abb
10,commit,https://github.com/microsoft/azuredatastudio/commit/d5a9c172d10dc49ef18b02455835cdba0b938a02
11,commit,https://github.com/mars90226/dotvim/commit/1741ff88cbf3f480b5598474a40b0e90d1525676
12,commit,https://github.com/MicrosoftDocs/learn/commit/16bb78b39f1d7a3c7c0fae2e78af01bf4a5f1339
13,commit,https://github.com/aws/copilot-cli/commit/a50d809246ff0d9ceeadc2fde37c3e1c55fe710b
14,commit,https://github.com/Copilot-Language/copilot/commit/7c4a50945752f733b3e456acad4664b5f7579633
15,commit,https://github.com/MicrosoftDocs/learn/commit/d2da44b8133241567099adb8ae74551c712ba06f
16,commit,https://github.com/Azure/LogicAppsUX/commit/cee80bea92e4a1344655fbe165c03d9f5eb5d8ff
17,commit,https://github.com/hyunjun/bookmarks/commit/faba9324efa15346632090270d799986c9c3528d
18,commit,https://github.com/MicrosoftDocs/dynamics-365-customer-engagement/commit/85b6b2cf5620733475153276d458c8f4f9a705e7
19,commit,https://github.com/qgadrian/dotfiles/commit/f2f6bdcfbc328c9f395cba293cc4a3964d0866d4
20,commit,https://github.com/gonstoll/dotfiles/commit/cddb016316ecb153ef711efb0217320d9d4b0708
21,commit,https://github.com/MicrosoftDocs/learn/commit/3f1b72f40c04aa0c6d1379a1d10774d38f155bdf
22,commit,https://github.com/intitni/CodeiumForXcode/commit/651d29b367b79d751aa36e34d347282f4d0fd261
23,commit,https://github.com/pixelastic/oroshi/commit/ca937d6cfaa0a987d2888dbe2b1bae58555e50e6
24,commit,https://github.com/qt-creator/qt-creator/commit/fbf8b4d3c3f7272231ac60f17df9c5ef9b2beaed
25,commit,https://github.com/igorlfs/dotfiles/commit/fd0e618eead2fb1a3e019525dc3ea0a7187e182f
26,commit,https://github.com/JetBrains/ideavim/commit/c3409be7803bde6a3fe85c3938060fb1d1ab4cf5
27,commit,https://github.com/wfxr/dotfiles/commit/b20760ced1da71d61f5b816e31794b81a715c656
28,commit,https://github.com/ktomy/nightscout-clock/commit/58464cd1cd71c4556534a7148503a2f8b40eb606
29,commit,https://github.com/ianchesal/dotfiles/commit/c0572280d57c48e40e186b5e46e0bb3fe13137e0
30,commit,https://github.com/yunfachi/nix-config/commit/4becf3d4154bb04c8013eac8fbf0684e2b072139
