,id,category,labels,link,text
0,679b31ef871c0fc8dbee0045,commit,documentation -> generating api specification,https://github.com/madskristensen/ImagePreview/commit/be2304421e6d089d20735a0d8047c6acc5bede34,Added Copilot generated XML Doc Comments
1,679b50a1871c0fc8dbee2cd4,commit,software quality -> testing -> generating tests,https://github.com/avoidwork/tiny-lru/commit/1c3964401f46ec8c4a28d9588ee48cafa330dc76,Copilot generated tests
2,679b5c31871c0fc8dbee39be,commit,software quality -> refactoring,https://github.com/unit-mesh/choco-builder/commit/700e6c1a2b279d4ddc2c779292a1f0962e44e6f7,refactor: use Copilot to implementation string validator
3,679b6888871c0fc8dbee4a42,commit,software quality -> testing -> generating tests,https://github.com/avoidwork/keysort/commit/a4812331276f7ff58e0a37f2b26a8f7f50ff8db5,"Adding `husky` for precommit hook, updating build outputs, updating package.json, updating ignore files, adding third parameter `toSorted = false` to use `Array.toSorted()` to produce sorted clones, updating tests for 100% coverage, adding `./github`, adding copilot generated tests (nested ones)"
4,679ba363871c0fc8dbee9d56,commit,feature implementation/enhancement -> feature enhancement -> user experience -> gui-related improvements,https://github.com/towry/nvim/commit/5fb68d1ef4b4791b85994c070c1c7e4932bb7275,use copilot to ajust theme
5,679bf811871c0fc8dbef1104,commit,software quality -> refactoring,https://github.com/deathbeam/dotfiles/commit/d657fd6e1d0903718253d7bcc7504f02eb963538,Fix some remaining stuff with copilot
6,679c07e8871c0fc8dbef2cc7,commit,documentation -> generating code comments,https://github.com/skyra-project/haste-server/commit/f20c53f8894e99a4da16b9594a92bd4de3acd247,docs: add copilot generated tsdoc
7,679c1e11871c0fc8dbef43d6,commit,"documentation -> generating code comments,software quality",https://github.com/sysbio-curie/Neko/commit/7d46b0c043414ab04597e8afdac6c3d52a67faee,cleaning class and generated automatic documentation with copilot for each function in the class
8,679c203e871c0fc8dbef46d4,commit,"documentation -> generating api specification,documentation -> improving writing",https://github.com/guardian360/InfoSec-Agent/commit/0de83e8a36f6b5bbf0d5978f9aa09dd9dda4a12b,"Expanded documentation (part 1)

Expanded documentation with help from github copilot to refactor all docstrings. Only go files so far. Part 1 because copilot gave up on me"
9,679c2309871c0fc8dbef4f49,commit,feature implementation/enhancement -> feature enhancement -> user experience -> gui-related improvements,https://github.com/concrete-utopia/utopia/commit/15fbbdc54cfb5637807e1524318acff940002848,"Pages Tab v0.1 (#5209)

* a pages pane!

* matching active path

* registeredExampleRoutes v0.1

* show dynamic paths instead

* ability to click on routes!

* Update pages-pane.tsx

* adding ""folders"" among real routes

* Update pages-pane.tsx

* indented routes step 1

* Update pages-pane.tsx

* icons!

* showing dynamic routes differently?

* okay this is nicer

* show the matched path as the resolved path

* design tweaks

* removing silly url

* well that was easy!

* removing commented out code

* oops this should always be normal color

* use safeIndex here

* busted for using Copilot"
10,679c2309871c0fc8dbef5238,commit,feature implementation/enhancement -> feature enhancement -> upgrade to latest version of a library,https://github.com/majorsilence/My-FyiReporting/commit/919725ada6b5417796aa11028a37411c7eb098ba,"further gtk3 progress

work through the copilot generated code towards a functional gtk3 viewer"
11,679c2dfe871c0fc8dbef5c17,commit,software quality -> fixing -> performance-related,https://github.com/gexijin/idepGolem/commit/56a7c35ed177dda2fbb8e9e51073aa3161836195,"download network file working

Use copilot to optimize"
12,679c4d8e871c0fc8dbef8de7,commit,software quality -> testing -> generating tests,https://github.com/moonbitlang/core/commit/f5968b99c6a30cbb6596495fdfff33359bf83c6a,tests generated by copilot
13,679c4d8e871c0fc8dbef8de9,commit,software quality -> testing -> generating tests,https://github.com/moonbitlang/core/commit/b320192c022b28ca0108f8a70de3351fa642946f,"Merge pull request #453 from moonbitlang/hongbo/no_list_conversions

tests generated by copilot"
14,679c4d8e871c0fc8dbef8dea,commit,software quality -> testing -> generating tests,https://github.com/moonbitlang/core/commit/3bb84e34a7683f96e0d47a2e44dbcfbbfa0223e3,tests generated by copilot
15,679c4d8e871c0fc8dbef8def,commit,software quality -> testing -> generating tests,https://github.com/moonbitlang/core/commit/fe4a7b727027cbe168bfbf85667180d3c61f2f26,"Merge pull request #454 from moonbitlang/hongbo/no_list_conversions

tests generated by copilot"
16,679c57b7871c0fc8dbef9651,commit,feature implementation/enhancement -> feature enhancement -> user experience,https://github.com/nf-core/tools/commit/b96f56b15d24431fb97382bed7715bccfafd21df,"Conda module linting: Include package name in log file

Tried to do this with GitHub Copilot Workspaces but it failed 😅 

As I was looking at the code anyway I could see the fix so figured I would put it manually.

Closes https://github.com/nf-core/tools/issues/3009

Untested, done in web browser only."
17,679c7617871c0fc8dbefc1c4,commit,feature implementation/enhancement -> feature enhancement -> user experience -> gui-related improvements,https://github.com/YuukiPS/Grasscutters-Original/commit/e5b3d65916a08875dcb389f91d39418595ed7e34,"fix(lang): Add language key for password crypto failure

this was copilot generated lmfao"
18,679c832e871c0fc8dbefd3aa,commit,feature implementation/enhancement -> feature enhancement,https://github.com/xelis-project/xelis-genesix-wallet/commit/1ffd88e7957f0b1a9c20fde328c9e35bc750c8d1,improve current localization with Copilot and add scripts to convert arb files into spreadsheets
19,679c85e4871c0fc8dbefda43,commit,documentation -> generating api specification,https://github.com/pyiron/executorlib/commit/e88903988077d7e63953f96160e914e4e0e4bb50,"Merge pull request #385 from pyiron/pilot

Add docstrings and typehints with Github copilot"
20,679c85e4871c0fc8dbefda57,commit,documentation -> generating code comments,https://github.com/pyiron/pyiron_base/commit/8d85e1ea1cf35230582c50540da5b494054e1dbb,add docstring using copilot
21,679c9482871c0fc8dbefefbb,commit,software quality -> testing -> generating tests,https://github.com/holtwick/zeed/commit/9384699922dfd69f15dbb192480f30a9851639fc,fix: some tests with copilot
22,679c9482871c0fc8dbeff0a3,commit,feature implementation/enhancement -> implementing a new feature,https://github.com/umbraco/Umbraco-CMS/commit/e25641534a8f106205108d12a49ba6191ee4edd9,"Adds _whenExtensionAliasIsRegistered as a promise so that we basically wait until the manifest is registered so late extensions will work as well

Seems to work with my hack in an entrypoint and the console logs the extension with the updated condition but its the tests I am struggling to get to work.

As this code is heavily worked from me trying to Google, read RXJS docs and talking with Copilot I am not fully in confident in this approach"
23,679c9ce9871c0fc8dbeff342,commit,software quality -> refactoring,https://github.com/hossain-khan/android-keep-alive/commit/dc3181add75eeffd2214ffa7b31d2063700a482a,[REFACTOR] Cleanup code from service using copilot
24,679c9e10871c0fc8dbeff777,commit,documentation -> generating readme,https://github.com/OfficeDev/teams-toolkit/commit/0449b1213a6ad110bb62cd2b066c34b6a1770c86,update language with copilot
25,679cadb0871c0fc8dbf00d01,commit,development environment -> setting/implementing a new configuration file,https://github.com/mlcommons/GaNDLF/commit/6dcb5358f42cfd3a399ad9740b29392cb459bd16,trying copilot suggestion
